"CpG No.","CpG","W","P"
1,"CpG_1",5536.5,0.31455646782167
2,"CpG_2",4286,0.0705392384864323
3,"CpG_3",5617,0.409615872623159
4,"CpG_4",5614.5,0.409763061012458
5,"CpG_5",5532,0.529238245683
6,"CpG_6",5060.5,0.655115421542332
7,"CpG_7",5060.5,0.655115421542332
8,"CpG_8",4163.5,0.45722214603345
9,"CpG_9",6490,0.00477962767173144
10,"CpG_12",6579.5,0.00240768530853802
11,"CpG_13",6579.5,0.00240768530853802
12,"CpG_14",5107,0.734021961255891
13,"CpG_15",1711.5,0.425238595795532
14,"CpG_16",5921,0.107456897510044
15,"CpG_17",1594.5,0.802152888438065
16,"CpG_18",3505,0.629657450085834
17,"CpG_19",5352.5,0.574996156701718
18,"CpG_20",5352.5,0.574996156701718
19,"CpG_21",5352.5,0.574996156701718
20,"CpG_22",6490,0.00477962767173144
21,"CpG_23",4984.5,0.362221132166206
22,"CpG_24",4163.5,0.45722214603345
